utime (s),X (G),Y (G),Z (G)
1717158255.9029908,-0.4375,-0.00390625,0.9140625
1717158255.915618,-0.439453125,-0.005859375,0.8935546875
1717158255.9282146,-0.44140625,0.001953125,0.873046875
1717158255.940829,-0.447265625,-0.0029296875,0.8818359375
1717158255.9534366,-0.4404296875,-0.0107421875,0.90234375
1717158255.966044,-0.4404296875,-0.0068359375,0.888671875
1717158255.978653,-0.4443359375,-0.01171875,0.9072265625
1717158255.9912608,-0.439453125,-0.0087890625,0.8984375
1717158256.0038683,-0.439453125,-0.0078125,0.888671875
1717158256.0164745,-0.439453125,-0.005859375,0.8876953125
1717158256.0290813,-0.43359375,-0.0048828125,0.8857421875
1717158256.0416873,-0.44140625,-0.00390625,0.8583984375
1717158256.054294,-0.4365234375,-0.0078125,0.8759765625
1717158256.066899,-0.439453125,-0.0029296875,0.8564453125
1717158256.0795243,-0.4404296875,-0.00390625,0.87890625
1717158256.0921316,-0.4404296875,-0.001953125,0.90234375
1717158256.1047366,-0.435546875,-0.0068359375,0.8935546875
1717158256.1173434,-0.4384765625,-0.0048828125,0.90625
1717158256.129951,-0.439453125,-0.0078125,0.8876953125
1717158256.1425574,-0.4365234375,-0.0078125,0.9072265625
1717158256.155164,-0.4345703125,-0.0029296875,0.8916015625
1717158256.1677704,-0.4326171875,-0.017578125,0.9296875
1717158256.1803775,-0.4384765625,-0.013671875,0.8974609375
1717158256.1929839,-0.44140625,-0.0087890625,0.900390625
1717158256.2055883,-0.4384765625,-0.005859375,0.8916015625
1717158256.2181938,-0.4384765625,-0.0029296875,0.88671875
1717158256.2308,-0.439453125,-0.001953125,0.8994140625
1717158256.243406,-0.4423828125,-0.001953125,0.8955078125
1717158256.2560136,-0.439453125,-0.00390625,0.9072265625
1717158256.2686205,-0.439453125,-0.0048828125,0.892578125
1717158256.2812247,-0.439453125,-0.0029296875,0.912109375
1717158256.2938368,-0.4326171875,-0.0048828125,0.8896484375
1717158256.306447,-0.4306640625,-0.0087890625,0.90625
1717158256.31906,-0.4384765625,-0.0048828125,0.896484375
1717158256.3316867,-0.4365234375,-0.005859375,0.9091796875
1717158256.344284,-0.447265625,-0.0029296875,0.8916015625
1717158256.3568935,-0.4384765625,0.00390625,0.87890625
1717158256.3695045,-0.44140625,-0.0009765625,0.8828125
1717158256.3821144,-0.453125,0.0009765625,0.904296875
1717158256.3947246,-0.435546875,-0.00390625,0.8935546875
1717158256.4073334,-0.4326171875,-0.00390625,0.8896484375
1717158256.4199414,-0.435546875,-0.0048828125,0.8896484375
1717158256.4325485,-0.44140625,-0.009765625,0.8984375
1717158256.445157,-0.439453125,-0.0048828125,0.9384765625
1717158256.4577627,-0.443359375,-0.0068359375,0.8984375
1717158256.4703705,-0.4404296875,-0.0068359375,0.89453125
1717158256.482978,-0.4384765625,-0.0029296875,0.88671875
1717158256.4955847,-0.4375,0.0107421875,0.85546875
1717158256.5081923,-0.44140625,-0.0029296875,0.880859375
1717158256.5207994,-0.439453125,0.0126953125,0.8896484375
1717158256.5334067,-0.43359375,-0.001953125,0.8896484375
1717158256.5460136,-0.4365234375,-0.0048828125,0.8525390625
1717158256.55862,-0.44140625,-0.0078125,0.87890625
1717158256.5712276,-0.439453125,-0.01171875,0.865234375
1717158256.5838318,-0.4423828125,-0.0048828125,0.880859375
1717158256.5964377,-0.4404296875,0.0,0.869140625
1717158256.6090457,-0.4423828125,-0.0048828125,0.8818359375
1717158256.6216512,-0.4384765625,-0.0048828125,0.8857421875
1717158256.6342573,-0.4345703125,-0.009765625,0.9384765625
1717158256.6468642,-0.4365234375,-0.005859375,0.9033203125
1717158256.659471,-0.439453125,-0.005859375,0.869140625
1717158256.6720777,-0.4384765625,-0.0068359375,0.87890625
1717158256.6846838,-0.4404296875,-0.0048828125,0.9150390625
1717158256.6972914,-0.4404296875,-0.01171875,0.896484375
1717158256.7098966,-0.4375,-0.0087890625,0.900390625
1717158256.7225025,-0.4345703125,-0.0029296875,0.8916015625
1717158256.735109,-0.4345703125,-0.001953125,0.8828125
1717158256.747716,-0.4326171875,-0.00390625,0.890625
1717158256.760322,-0.4677734375,0.005859375,0.892578125
1717158256.7729282,-0.4462890625,-0.0029296875,0.888671875
1717158256.785649,-0.4287109375,0.0009765625,0.8994140625
1717158256.7983878,-0.4326171875,-0.00390625,0.8876953125
1717158256.8111262,-0.4365234375,-0.0078125,0.900390625
1717158256.823862,-0.4375,-0.0068359375,0.9033203125
1717158256.836597,-0.4404296875,0.0,0.8935546875
1717158256.8493538,-0.4404296875,-0.0068359375,0.89453125
1717158256.862089,-0.44140625,-0.0078125,0.8876953125
1717158256.8748229,-0.439453125,-0.0048828125,0.84375
1717158256.8875904,-0.4375,-0.005859375,0.8818359375
1717158256.9003277,-0.4384765625,-0.0048828125,0.8701171875
1717158256.9130642,-0.435546875,-0.005859375,0.9150390625
1717158256.9257982,-0.4384765625,-0.0048828125,0.890625
1717158256.9385343,-0.4404296875,-0.00390625,0.9521484375
1717158256.9512684,-0.439453125,-0.001953125,0.900390625
1717158256.9640028,-0.4365234375,0.01171875,0.884765625
1717158256.9767609,-0.4326171875,-0.005859375,0.884765625
1717158256.9895294,-0.4521484375,-0.009765625,0.9072265625
1717158257.0022662,-0.4453125,-0.005859375,0.8935546875
1717158257.0150042,-0.4345703125,-0.001953125,0.900390625
1717158257.0277393,-0.439453125,-0.001953125,0.8466796875
1717158257.0404727,-0.4404296875,-0.005859375,0.87890625
1717158257.0532084,-0.4375,-0.0068359375,0.8388671875
1717158257.0659437,-0.4404296875,-0.0048828125,0.87890625
1717158257.0786808,-0.4404296875,-0.009765625,0.892578125
1717158257.0915165,-0.44140625,-0.009765625,0.890625
1717158257.1042614,-0.4521484375,-0.0048828125,0.8876953125
1717158257.1169968,-0.44140625,-0.0068359375,0.888671875
1717158257.1297376,-0.4306640625,-0.005859375,0.8916015625
1717158257.1424718,-0.435546875,-0.001953125,0.8857421875
1717158257.1552055,-0.4384765625,-0.00390625,0.88671875
1717158257.1679406,-0.435546875,-0.0029296875,0.8818359375
1717158257.180675,-0.431640625,-0.0078125,0.8837890625
1717158257.1934402,-0.4384765625,-0.005859375,0.9267578125
1717158257.2061713,-0.4365234375,-0.0068359375,0.8984375
1717158257.218911,-0.4375,-0.0048828125,0.8828125
1717158257.2316432,-0.4345703125,-0.00390625,0.8876953125
1717158257.2443786,-0.439453125,-0.0078125,0.884765625
1717158257.2571166,-0.4384765625,-0.0029296875,0.8251953125
1717158257.269863,-0.4365234375,-0.00390625,0.8720703125
1717158257.282604,-0.4365234375,-0.0048828125,0.861328125
1717158257.295361,-0.44140625,-0.0029296875,0.8779296875
1717158257.308096,-0.4404296875,-0.0078125,0.8759765625
1717158257.3208303,-0.4384765625,-0.0048828125,0.884765625
1717158257.3335671,-0.4521484375,-0.0009765625,0.9072265625
1717158257.346303,-0.4404296875,-0.001953125,0.8896484375
1717158257.3590434,-0.439453125,-0.00390625,0.88671875
1717158257.3717818,-0.439453125,-0.00390625,0.9052734375
1717158257.3845155,-0.435546875,-0.00390625,0.89453125
1717158257.3972716,-0.439453125,-0.00390625,0.837890625
1717158257.4099877,-0.4443359375,-0.0068359375,0.8779296875
1717158257.4226978,-0.435546875,-0.0078125,0.8896484375
1717158257.4354072,-0.4365234375,-0.005859375,0.8837890625
1717158257.4481416,-0.4326171875,-0.0078125,0.904296875
1717158257.4608815,-0.4365234375,-0.0078125,0.8916015625
1717158257.4736102,-0.4326171875,0.0,0.8896484375
1717158257.486346,-0.4345703125,-0.005859375,0.890625
1717158257.4991121,-0.4384765625,-0.0029296875,0.89453125
1717158257.5118515,-0.44140625,-0.00390625,0.83984375
1717158257.5246391,-0.4443359375,-0.0068359375,0.875
1717158257.537389,-0.4404296875,-0.0087890625,0.9150390625
1717158257.550128,-0.4404296875,-0.0029296875,0.892578125
1717158257.5628655,-0.4306640625,-0.001953125,0.8916015625
1717158257.5756028,-0.4365234375,-0.0068359375,0.8896484375
1717158257.5883398,-0.4365234375,-0.0068359375,0.8916015625
1717158257.6011047,-0.4365234375,-0.001953125,0.9189453125
1717158257.613861,-0.44140625,0.0,0.8984375
1717158257.6265988,-0.4404296875,-0.0048828125,0.8935546875
1717158257.6393363,-0.439453125,-0.0048828125,0.8955078125
1717158257.6520727,-0.435546875,0.001953125,0.8759765625
1717158257.6648083,-0.4384765625,-0.001953125,0.884765625
1717158257.677542,-0.4384765625,0.001953125,0.900390625
1717158257.69028,-0.4375,-0.00390625,0.880859375
1717158257.7030127,-0.443359375,-0.005859375,0.8916015625
1717158257.715748,-0.4384765625,-0.005859375,0.853515625
1717158257.7284815,-0.4375,-0.005859375,0.87890625
1717158257.7412188,-0.4345703125,-0.0107421875,0.8701171875
1717158257.7539554,-0.435546875,-0.0078125,0.880859375
1717158257.7666926,-0.4326171875,-0.0107421875,0.8740234375
1717158257.779435,-0.4365234375,-0.009765625,0.88671875
1717158257.7921822,-0.4423828125,-0.0048828125,0.8916015625
1717158257.8049443,-0.4384765625,-0.00390625,0.892578125
1717158257.8176541,-0.4375,-0.0029296875,0.890625
1717158257.8303633,-0.435546875,-0.001953125,0.8876953125
1717158257.8430698,-0.4453125,-0.0078125,0.888671875
1717158257.8558059,-0.4423828125,-0.001953125,0.9228515625
1717158257.868553,-0.4365234375,-0.00390625,0.8974609375
1717158257.881299,-0.4501953125,-0.0126953125,0.8984375
1717158257.8940434,-0.439453125,-0.0078125,0.890625
1717158257.9068265,-0.43359375,-0.0029296875,0.8876953125
1717158257.9195747,-0.4345703125,-0.005859375,0.9013671875
1717158257.9323192,-0.4326171875,-0.0068359375,0.8935546875
1717158257.945063,-0.4384765625,-0.005859375,0.8828125
1717158257.9578032,-0.4365234375,-0.005859375,0.8896484375
1717158257.9705856,-0.4384765625,-0.0107421875,0.9072265625
1717158257.9833274,-0.439453125,-0.01171875,0.8955078125
1717158257.9960675,-0.4375,-0.0068359375,0.88671875
1717158258.0088413,-0.439453125,-0.0029296875,0.888671875
1717158258.0215857,-0.439453125,-0.0068359375,0.8837890625
1717158258.0343275,-0.4375,-0.001953125,0.921875
1717158258.0470705,-0.4326171875,-0.00390625,0.8974609375
1717158258.0598187,-0.439453125,-0.0185546875,0.8408203125
1717158258.0725608,-0.4404296875,-0.0087890625,0.8818359375
1717158258.0853033,-0.4501953125,0.001953125,0.876953125
1717158258.098052,-0.439453125,-0.0009765625,0.88671875
1717158258.1108205,-0.4384765625,-0.009765625,0.884765625
1717158258.1235404,-0.4345703125,-0.00390625,0.9013671875
1717158258.1362815,-0.4375,-0.0048828125,0.890625
1717158258.1490033,-0.4404296875,-0.0029296875,0.896484375
1717158258.1617446,-0.4375,-0.005859375,0.8955078125
1717158258.1744888,-0.4404296875,-0.0048828125,0.8896484375
1717158258.1872053,-0.4306640625,-0.0048828125,0.8876953125
1717158258.1999154,-0.4375,-0.001953125,0.9033203125
1717158258.2126222,-0.4375,-0.0048828125,0.8916015625
1717158258.225328,-0.4306640625,-0.0087890625,0.8984375
1717158258.238061,-0.435546875,-0.00390625,0.919921875
1717158258.2507977,-0.439453125,-0.0078125,0.8955078125
1717158258.2635446,-0.44140625,-0.0048828125,0.892578125
1717158258.276284,-0.4423828125,-0.005859375,0.8916015625
1717158258.289024,-0.44140625,-0.0078125,0.8525390625
1717158258.301763,-0.435546875,-0.0068359375,0.880859375
1717158258.314523,-0.42578125,-0.0068359375,0.90234375
1717158258.3272588,-0.4345703125,-0.0078125,0.892578125
1717158258.3399985,-0.439453125,-0.0048828125,0.8857421875
1717158258.3527339,-0.4365234375,-0.0029296875,0.8994140625
1717158258.3654695,-0.43359375,0.0,0.896484375
1717158258.3782067,-0.4345703125,-0.0048828125,0.8662109375
1717158258.3909416,-0.4375,-0.0068359375,0.8837890625
1717158258.4036772,-0.4375,-0.0107421875,0.90234375
1717158258.4164374,-0.4404296875,-0.0068359375,0.8916015625
1717158258.4291909,-0.4384765625,0.0,0.861328125
1717158258.441903,-0.4384765625,-0.0009765625,0.880859375
1717158258.4546235,-0.4375,-0.0029296875,0.892578125
1717158258.4673672,-0.439453125,-0.00390625,0.93359375
1717158258.480135,-0.4404296875,-0.0048828125,0.8955078125
1717158258.4928725,-0.4365234375,-0.005859375,0.9189453125
1717158258.5056093,-0.439453125,-0.0078125,0.8974609375
1717158258.5183675,-0.4384765625,0.0,0.912109375
1717158258.5311053,-0.43359375,-0.001953125,0.8955078125
1717158258.5438418,-0.4375,-0.0029296875,0.8896484375
1717158258.5565777,-0.4404296875,-0.00390625,0.88671875
1717158258.5693188,-0.43359375,-0.0029296875,0.88671875
1717158258.5820546,-0.43359375,-0.0029296875,0.884765625
1717158258.5948014,-0.4365234375,0.0009765625,0.884765625
1717158258.6075432,-0.4384765625,-0.00390625,0.8984375
1717158258.6203165,-0.4384765625,-0.00390625,0.892578125
1717158258.6330552,-0.435546875,-0.0048828125,0.9140625
1717158258.6457927,-0.43359375,-0.005859375,0.896484375
1717158258.65853,-0.431640625,-0.0029296875,0.8857421875
1717158258.6712685,-0.4365234375,-0.00390625,0.8896484375
1717158258.684003,-0.435546875,-0.0068359375,0.8916015625
1717158258.6967409,-0.43359375,-0.0048828125,0.900390625
1717158258.7094803,-0.439453125,-0.00390625,0.8916015625
1717158258.7222428,-0.44140625,0.0087890625,0.8720703125
1717158258.73498,-0.4326171875,-0.0009765625,0.8857421875
1717158258.7477167,-0.4365234375,-0.0087890625,0.8740234375
1717158258.7604518,-0.4423828125,-0.005859375,0.8857421875
1717158258.7731886,-0.4423828125,-0.0068359375,0.88671875
1717158258.7859275,-0.4384765625,-0.0078125,0.8994140625
1717158258.798664,-0.431640625,-0.0068359375,0.8857421875
1717158258.8114023,-0.4365234375,-0.0068359375,0.923828125
1717158258.8241658,-0.4345703125,-0.001953125,0.896484375
1717158258.8369014,-0.4375,0.0107421875,0.890625
1717158258.849643,-0.4404296875,-0.00390625,0.890625
1717158258.8623888,-0.43359375,-0.0087890625,0.8896484375
1717158258.8751261,-0.4365234375,-0.005859375,0.88671875
1717158258.8878624,-0.44921875,-0.005859375,0.8876953125
1717158258.9006004,-0.44140625,-0.0068359375,0.8916015625
1717158258.9133527,-0.4384765625,0.0,0.8896484375
1717158258.9261134,-0.439453125,-0.0029296875,0.869140625
1717158258.938852,-0.439453125,-0.00390625,0.8818359375
1717158258.9515867,-0.44140625,-0.001953125,0.892578125
1717158258.964323,-0.4345703125,-0.0048828125,0.890625
1717158258.9770596,-0.435546875,-0.0048828125,0.9140625
1717158258.9898007,-0.4375,-0.0078125,0.890625
1717158259.0025349,-0.4384765625,-0.0107421875,0.884765625
1717158259.0152712,-0.4404296875,-0.0029296875,0.935546875
1717158259.0280304,-0.4375,-0.0029296875,0.892578125
1717158259.040768,-0.439453125,-0.00390625,0.8994140625
1717158259.053506,-0.439453125,-0.0068359375,0.8896484375
1717158259.0662475,-0.4384765625,-0.0087890625,0.87890625
1717158259.0789883,-0.4365234375,-0.009765625,0.890625
1717158259.091727,-0.4375,-0.0009765625,0.9150390625
1717158259.1044624,-0.4384765625,-0.0048828125,0.896484375
1717158259.1171987,-0.4375,-0.0029296875,0.8837890625
1717158259.1299682,-0.439453125,-0.001953125,0.9033203125
1717158259.1427062,-0.435546875,-0.00390625,0.892578125
1717158259.1554427,-0.4375,-0.021484375,0.8974609375
1717158259.1681778,-0.4384765625,-0.0078125,0.8916015625
1717158259.1809154,-0.435546875,-0.00390625,0.8994140625
1717158259.193651,-0.4462890625,-0.0029296875,0.890625
1717158259.2063847,-0.44140625,-0.0078125,0.908203125
1717158259.2191257,-0.4384765625,-0.0048828125,0.892578125
1717158259.2318897,-0.439453125,-0.00390625,0.88671875
1717158259.244625,-0.44140625,-0.0048828125,0.8681640625
1717158259.257361,-0.4365234375,-0.00390625,0.8828125
1717158259.2700992,-0.435546875,-0.0048828125,0.8798828125
1717158259.2828357,-0.4375,-0.005859375,0.88671875
1717158259.2955697,-0.4375,0.00390625,0.9111328125
1717158259.3083065,-0.4365234375,-0.0009765625,0.89453125
1717158259.3210466,-0.4306640625,-0.001953125,0.8837890625
1717158259.3338099,-0.4384765625,-0.00390625,0.9033203125
1717158259.3465464,-0.4384765625,-0.0048828125,0.8896484375
1717158259.3592877,-0.4384765625,-0.0048828125,0.8662109375
1717158259.372025,-0.4462890625,-0.0029296875,0.8798828125
1717158259.3847625,-0.4375,0.013671875,0.8984375
1717158259.3974998,-0.4423828125,-0.0048828125,0.8896484375
1717158259.4102368,-0.439453125,-0.005859375,0.880859375
1717158259.4229734,-0.439453125,-0.0068359375,0.8896484375
1717158259.4357333,-0.4384765625,-0.0078125,0.8681640625
1717158259.448468,-0.4375,-0.0078125,0.8818359375
1717158259.461208,-0.4384765625,-0.00390625,0.8798828125
1717158259.4739416,-0.4365234375,-0.0029296875,0.9228515625
1717158259.4866781,-0.44140625,-0.0029296875,0.8955078125
1717158259.4994211,-0.4404296875,-0.0107421875,0.8701171875
1717158259.5121567,-0.4375,-0.005859375,0.884765625
1717158259.5249074,-0.439453125,-0.0009765625,0.9150390625
1717158259.5376692,-0.4384765625,-0.0029296875,0.8955078125
1717158259.550409,-0.4384765625,-0.00390625,0.89453125
1717158259.5631588,-0.4384765625,-0.0068359375,0.8876953125
1717158259.5758994,-0.44140625,-0.005859375,0.8916015625
1717158259.5886374,-0.439453125,-0.0029296875,0.8740234375
1717158259.6013737,-0.4365234375,-0.005859375,0.8837890625
1717158259.6141086,-0.43359375,-0.001953125,0.90234375
1717158259.626847,-0.4326171875,-0.001953125,0.8916015625
1717158259.6396105,-0.4267578125,-0.0048828125,0.8505859375
1717158259.6523492,-0.435546875,-0.00390625,0.8828125
1717158259.665181,-0.4365234375,-0.0078125,0.8896484375
1717158259.6779194,-0.439453125,-0.0048828125,0.8466796875
1717158259.6906571,-0.44140625,-0.0048828125,0.8779296875
1717158259.7033896,-0.4365234375,-0.005859375,0.900390625
1717158259.7161274,-0.439453125,-0.0068359375,0.8916015625
1717158259.7288682,-0.4404296875,0.00390625,0.8955078125
1717158259.7416317,-0.4375,-0.001953125,0.89453125
1717158259.754369,-0.43359375,-0.0009765625,0.8720703125
1717158259.7671053,-0.4365234375,-0.0048828125,0.9013671875
