utime (s),X (G),Y (G),Z (G)
1713036729.3127098,0.3896484375,0.1435546875,0.93359375
1713036729.326929,0.3623046875,0.1640625,0.9384765625
1713036729.3411481,0.365234375,0.17578125,0.9609375
1713036729.35534,0.3447265625,0.205078125,0.95703125
1713036729.3695514,0.328125,0.2060546875,0.9296875
1713036729.3837676,0.3173828125,0.2197265625,0.9443359375
1713036729.3980074,0.3037109375,0.228515625,0.984375
1713036729.4122217,0.3115234375,0.2216796875,0.9267578125
1713036729.4264627,0.3076171875,0.2197265625,0.9443359375
1713036729.4406788,0.30078125,0.2314453125,0.984375
1713036729.454893,0.294921875,0.2314453125,0.9931640625
1713036729.4691076,0.287109375,0.22265625,0.984375
1713036729.4833212,0.3173828125,0.205078125,0.9755859375
1713036729.4975863,0.2939453125,0.220703125,0.9560546875
1713036729.5118053,0.2734375,0.2373046875,1.025390625
1713036729.526032,0.26171875,0.2451171875,1.0
1713036729.5402532,0.2626953125,0.224609375,0.9755859375
1713036729.5544703,0.259765625,0.216796875,0.9990234375
1713036729.568686,0.2685546875,0.1923828125,0.974609375
1713036729.5829031,0.310546875,0.140625,0.9560546875
1713036729.5971444,0.298828125,0.154296875,1.060546875
1713036729.6113613,0.2646484375,0.2021484375,0.9736328125
1713036729.6255727,0.2470703125,0.1767578125,0.9599609375
1713036729.6397855,0.236328125,0.1416015625,0.9541015625
1713036729.6539974,0.1826171875,0.16015625,0.9013671875
1713036729.668208,0.1123046875,0.21484375,0.82421875
1713036729.6824214,0.16796875,0.1875,0.93359375
1713036729.696639,0.072265625,0.296875,1.072265625
1713036729.7108808,0.083984375,0.3583984375,1.0380859375
1713036729.7251005,-0.044921875,0.2626953125,1.0576171875
1713036729.739317,-0.0654296875,0.3525390625,1.275390625
1713036729.753532,0.0654296875,0.23046875,1.1875
1713036729.767744,-0.126953125,0.1669921875,1.01953125
1713036729.781959,-0.1240234375,0.205078125,1.1162109375
1713036729.7961743,-0.14453125,0.18359375,1.1904296875
1713036729.8104174,-0.2109375,0.1337890625,0.8955078125
1713036729.824633,-0.150390625,0.001953125,0.751953125
1713036729.8388484,0.08984375,-0.5361328125,0.8974609375
1713036729.8530633,0.1435546875,-0.6064453125,1.19921875
1713036729.8672788,-0.0244140625,-0.4560546875,0.9697265625
1713036729.881491,-0.162109375,-0.3740234375,0.90234375
1713036729.8957062,-0.1923828125,-0.52734375,0.8212890625
1713036729.9099486,-0.0791015625,-0.7666015625,0.650390625
1713036729.9242108,0.04296875,-1.0537109375,0.65625
1713036729.9384258,0.21484375,-1.3798828125,0.3818359375
1713036729.9526424,0.1083984375,-1.255859375,0.47265625
1713036729.966859,0.04296875,-1.1962890625,0.70703125
1713036729.9810758,0.013671875,-1.087890625,0.4609375
1713036729.9952934,-0.0498046875,-0.9638671875,0.5771484375
1713036730.0095294,0.033203125,-0.853515625,0.5625
1713036730.023743,-0.056640625,-0.7490234375,0.68359375
1713036730.037951,-0.009765625,-0.6875,0.4580078125
1713036730.052167,0.16015625,-0.880859375,0.3876953125
1713036730.0663548,0.1171875,-1.107421875,0.48828125
1713036730.0805683,0.076171875,-0.8857421875,0.6669921875
1713036730.094781,-0.0107421875,-0.767578125,0.8837890625
1713036730.109025,0.005859375,-0.7978515625,0.767578125
1713036730.123255,-0.0029296875,-0.798828125,0.7939453125
1713036730.1374793,0.11328125,-0.7314453125,1.0009765625
1713036730.151718,0.0908203125,-0.546875,1.08203125
1713036730.1659398,-0.0283203125,-0.111328125,1.0146484375
1713036730.1801608,-0.0166015625,0.1025390625,1.0185546875
1713036730.1943805,-0.0654296875,0.2177734375,0.9326171875
1713036730.2086132,0.029296875,0.1904296875,0.8427734375
1713036730.2228599,0.005859375,0.3251953125,0.8515625
1713036730.23708,0.12109375,0.3173828125,0.94921875
1713036730.2512999,0.119140625,0.3681640625,0.828125
